Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_DC1_LEAF1A_Ethernet2
Et2                            up             up                 P2P_LINK_TO_DC1_LEAF1B_Ethernet2
Et3                            up             up                 P2P_LINK_TO_DC1_LEAF2A_Ethernet2
Et4                            up             up                 P2P_LINK_TO_DC1_LEAF2B_Ethernet2
Et5                            up             up                 P2P_LINK_TO_DC1_BORDER_LEAF1_Ethernet2
Et6                            up             up                 P2P_LINK_TO_DC1_BORDER_LEAF2_Ethernet2
Lo0                            up             up                 EVPN_Overlay_Peering
Ma0                            up             up                 oob_management
